"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",neutral,glaston share gla1v list nasdaq omx helsinki  mid cap list ,1
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,neutral,grind notification  tiimari plc 12302010 issue capital convertible loan allocation decision board 01312011 ,1
GyPSii service supports ten different languages including Korean and Russian .,neutral,gypsii service support ten different language include korean russian ,1
He confirmed his view on July 6 .,neutral,confirm view july 6 ,1
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,however  offer probably make current valuation  partly derive deal company wa merge stock market shell ,1
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki oyj stock exchange release  1692008 1332 huhtamaki capital market day institutional investor analyst hold espoo  september 16  2008 start 1330 pm finnish time ,1
"If Honkarakenne starts production there , it will need a partner for sawmill operations .",neutral,honkarakenne start production  need partner sawmill operation ,1
"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",neutral,addition tulikivi corporation  also currently member board follow company  altia corporation  jñrvisuomen portti osuuskunta  osuuskunta kpy  profile vehicle oy voimatel oy ,1
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral,future  plant focus production flange profile wind farm tower ,1
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral,incap corporation stock exchange announcement 29 april 2010 1 pm invitation news conference incap interim report q12010 incap publish interim report januarymarch 2010 wednesday  5 may 2010 ,1
IonPhasE 's second major owner is venture capital firm Aura Capital .,neutral,ionphase second major owner venture capital firm aura capital ,1
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral,iso omena base matinkyla district southern part city espoo  southern finland ,1
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,itg share deal estimate 500000 euro  627000 ,1
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,customer include local company slo oy  kiilto oy  toptronics oy  normark suomi oy  pellonpaja oy mansner oy ,1
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral,jensen  njastein mike critch  head dovre north america business unit  report toivola ,1
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral,kemira  headquarter helsinki  finland  international chemical group comprise business area kemira pulp  paper  kemira water  kemira specialty kemira coat ,1
Kemira 's partner in the project is St. Petersburg Water Works .,neutral,kemira partner project st petersburg water work ,1
KONE is listed on the Nordic Exchange in Helsinki .,neutral,kone list nordic exchange helsinki ,1
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral,lt operative finland  sweden  latvia  russia norway ,1
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,neutral,latvia stockmann shop mall subsidiary finland stockmann plc ,1
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",neutral,leed internationally recognize green build certification system  develop u green build council ,1
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",neutral,china unicom  nyse  chu  hkse  0762  shse  600050  second largest mobile carrier country ,1
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,metsabotnia finance payment dividend  repayment capital repurchase share fund derive divestment uruguay operation  share pohjolan voima  utilise exist finance facility ,1
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral,metso delivery include complete coat board line relate air system two winder ,1
Most of the dividend will go to the Grimaldi family .,neutral,dividend go grimaldi family ,1
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,neste ship likely remain finnish oil sector transport significant emergency supply ,1
Net investment income,neutral,net investment income,1
"no compensation for its news , opinions or distributions .",neutral,compensation news  opinion distribution ,1
No financial details were disclosed .,neutral,financial detail disclose ,1
"Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US .",neutral,company net sale  38  wa acquire finland  21  european country  40  asia  1  u ,1
Officials did not disclose the contract value .,neutral,official disclose contract value ,1
Otherwise the situation is under control .,neutral,otherwise situation control ,1
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral,customer come follow country  uk  usa  spain  france  italy  germany  china  hong kong  sweden  norway  netherlands  austria  belgium  switzerland  czech republic  finland  canada  russia  ukraine  denmark  ireland  south korea liechtenstein ,1
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,customer come follow country  uk  usa  spain  france  italy  germany  china  sweden  norway  netherlands  austria  belgium  switzerland  czech republic  serbia  finland  canada  russia  ukraine  portugal  denmark  ireland  south korea  estonia liechtenstein ,1
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",neutral,paychex ha 100 office serve approximately 554000 payroll client nationwide may 31  2009 ,1
Payment of shares shall be effected on subscription .,neutral,payment share shall effect subscription ,1
"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",neutral,pc digital guatemala ha use tecnomen prepay system telgua fix network well code division multiple access  cdma  global system mobile communication  gsm  since 2003 ,1
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,poyry global consult engineer firm focus energy  forest industry infrastructure  environment sector ,1
Production is scheduled to start by the end of April 2007 .,neutral,production schedule start end april 2007 ,1
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral,publish globe online  israel business news  wwwglobesonlinecom  november 16  2009  copyright globe publisher itonut 1983 ltd 2009,1
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,neutral,ramirent finland domestic unit machinery rental company ramirent oyj hel  rmr1v ,1
Raute is listed on the Nordic exchange in Helsinki .,neutral,raute list nordic exchange helsinki ,1
Registration is required .,neutral,registration require ,1
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral,relate link  flexiblebaseloadoperation thewartsila32generating set gasconversions shorter two version press release ,1
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral,rosendal outoteccom eila paatela  vice president  corporate communication tel 358 20 529 2004  358 400 817198 email eila ,1
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,runway visual range calculate assessment distance pilot see runway ,1
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral,salcomp charger manufacture plant india locate nokia telecom park state tamil nadu  eastern part india ,1
Saunalahti is a part of the Elisa group .,neutral,saunalahti part elisa group ,1
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral,say brian burton  head security  vodafone uk ,1
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral,seller finnish elcoteq group  largest european electronics manufacture service company ,1
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral,solteq plc announcement 16122010 share repurchase 16122010 helsinki stock exchange solteq plc hold total 486969 share include share repurchase 16122010 ,1
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,recent technology delivery include refinery technology anrak aluminium  iron ore pelletizing plant tata steel iron ore sinter plant bhushan steel ,1
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",neutral,srv also build aqua park wellness area  restaurant multifunctional ice arena ,1
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,ssh communication security corporation headquarter helsinki  finland ,1
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,ssh communication security corporation headquarter helsinki  finland ,1
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,steek  wa set 2002  base bordeaux  southwestern france ,1
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",neutral,stockmann plc company announcement february 20  2007  1340 annual summary stockmann stock exchange financial press release 2006 available company website address wwwstockmanncom ,1
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral,sullivan say board  really involve lot work  people get pay time  ,1
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,suomen paikallissanomat oy part alma medium group currently publish 15 local newspaper across finland ,1
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,neutral,talvivaara list london stock exchange main market nasdaq omx helsinki include ftse 250 index ,1
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral,tecnotree convergent charge solution include functionality prepay postpaid bill  charge rat voice call  video call raw data traffic mobile fix network ,1
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,neutral,teleste ha 30 office worldwide list nordic exchange helsinki ,1
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral,teleste wa set 1954 divide broadband cable network video network business area ,1
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,2500passenger ferry dimension 185 length overall  170 length perpendicular  2770 breadth 655 design draught ,1
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses .",neutral,acquisition doe freeze food fish sector  long ha synergy lñnnen tehtaat business ,1
The acquisition price was not disclosed .,neutral,acquisition price wa disclose ,1
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,aforementioned shareholder inform propose annual general meet number member board director shall five besides present member board director also mr lassi noponen shall elect board director ,1
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",neutral,aim ceo qa session give clarity information  ha make public already earlier ,1
The Board of Directors was authorized to decide on other terms of the share issue .,neutral,board director wa authorize decide term share issue ,1
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,neutral,bridge 12 km long locate anasmotet road e20 new traffic junction marieholm road e45 ,1
"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",neutral,build  40 condominium  build 4 5 stage ,1
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",neutral,business area ha operation finland  sweden  denmark  estonia  latvia lithuania ,1
The capital structure of Solidium may be complemented by other financial instruments in the future .,neutral,capital structure solidium may complement financial instrument future ,1
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral,company ha 410 employee annual turnover eur65 4 vaahto group list nordic exchange helsinki ,1
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral,company also seek possibility relocate luumaki personnel  50 people  upm mill ,1
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral,company offer payroll service  include payroll process  payroll tax administration  employee pay service  include direct deposit  check sign  readychex ,1
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",neutral,company operate business two reportable segment  include bank investment service  nonlife insurance ,1
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral,company board director ha propose dividend eur0 12 per share 2006 ,1
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral,company board director propose dividend eur 014 2008 annual general meet ,1
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral,company plant russia continue make tyre near market  plant nokia finland manufacture tyre market ,1
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,company share list mid cap segment nasdaq omx helsinki ,1
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,company share quote nasdaq omx helsinki rautaruukki oyj  rtrks ,1
The company then said it will focus its resources on clinical research .,neutral,company say focus resource clinical research ,1
The Company turnover amounted to MEUR 27.9 in 2007 .,neutral,company turnover amount meur 279 2007 ,1
The company website is www.ahlstrom.com .,neutral,company website wwwahlstromcom ,1
The company will be part of Teleste 's Video and Broadband Solutions business area .,neutral,company part teleste video broadband solution business area ,1
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral,company publish financial statement 2008 february 25  2009 ,1
The company will release its 2010 results on 11 February 2011 .,neutral,company release 2010 result 11 february 2011 ,1
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,continue operation mean structure restructure aspocomp group include aspocomp oulu headquarter operation ,1
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",neutral,contract cover turnkey delivery five airport operate authority  john f kennedy  laguardia  newark  teterboro stewart international ,1
The contract includes heating plant equipment and associated installation work .,neutral,contract include heat plant equipment associate installation work ,1
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,neutral,contract involve refurbish bathroom 189 unit well replumbing water sewer pipe ,1
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral,cost deal could range 70 million 90 million euro depend financial result two company 2008  statement say ,1
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,neutral,crane would instal onboard two freighter order singaporean ship owner masterbulk ,1
The customers will have an access to integrated propeller and gear packages from one source .,neutral,customer access integrate propeller gear package one source ,1
The deal is subject to approval by the Norwegian competition authorities .,neutral,deal subject approval norwegian competition authority ,1
The deal means that ten persons in three countries will transfer to Tieto .,neutral,deal mean ten person three country transfer tieto ,1
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,deal significant effect acquire company equity ratio ,1
The deliveries are scheduled for the summer and autumn of 2008 .,neutral,delivery schedule summer autumn 2008 ,1
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",neutral,development technological park  specialize telecommunication information technology  part state program formation technoparks hitech sector russia ,1
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year .",neutral,ecommerce site flagship manage marimekko north america retail llc  subsidiary establish u last year ,1
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,final price specify 14 may 2010  acquire company say ,1
"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral,firm uk head office rugby road  lutterworth ,1
The first group of customers to be trained will be paint-shop owners and their assistants .,neutral,first group customer train paintshop owner assistant ,1
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,first stage contract cover 133 store 600 cash register ,1
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",neutral,fish content nugget 85   fish come canada finland ,1
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,neutral,follow information wa release comptel  tomorrow chairman federal communication commission schedule deliver national broadband plan congress ,1
The front surfaces of these valve plates are directed towards each other .,neutral,front surface valve plate direct towards ,1
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral,inaugural speech give hannu kyrolainen  finland ambassador czech republic ,1
The increase range will vary up to 10 % .,neutral,increase range vary 10  ,1
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,internal revenue service see 20 percent taxpayer wait last two week file  40 million return file april ,1
"The latest date for registration is on 4 April , 2006 .",neutral,latest date registration 4 april  2006 ,1
The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral,line 4 run fully underground comprise 10 station execute two implementation stage ,1
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral,mall finance parity basis pearl plaza llc  joint venture company establish chinese investor shanghai industrial investment hold co ltd  srv group ,1
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,maximum amount capital loan eur30m minimum subscription  eur10 000 ,1
The maximum number of new shares to be offered is 22 million .,neutral,maximum number new share offer 22 million ,1
The measures taken will cause one-time costs during the final part of 2006 .,neutral,measure take cause onetime cost final part 2006 ,1
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,mill capacity produce 500000 tonne pulp per year ,1
"The money will be spread mainly over 2011 and 2012 , the company said .",neutral,money spread mainly 2011 2012  company say ,1
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",neutral,natural source isoprene tree specie hevea brasiliensis  also know rubber tree ,1
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral,new majority owner aspocomp thailand co  ltd certain private person belong immediate circle aspocomp present joint venture partner  saha pathana interholding plc ,1
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral,new organization consist two business unit  charge  message finance  administration ,1
The new SEPA cads will replace Finnish bank cards .,neutral,new sepa cad replace finnish bank card ,1
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral,order comprise production line plywood mill  company say statement receive lesprom network ,1
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral,order comprise four ball mill  organize two different stream treat ore pilanesberg platinum mine ,1
"The order includes a new Crecent former , headbox , and reel .",neutral,order include new crecent former  headbox  reel ,1
The output of the contracts totals 72 MWe .,neutral,output contract total 72 mwe ,1
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",neutral,party agree disclose price deal  group say press release ,1
The parties have agreed not to disclose the transaction value .,neutral,party agree disclose transaction value ,1
"The payment date is March 25 , 2010 .",neutral,payment date march 25  2010 ,1
"The platform is based built on Intel s second-generation MID platform , called Moorestown .",neutral,platform base build intel secondgeneration mid platform  call moorestown ,1
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",neutral,price 10000 kroon par value bond wa 966351 kroon primary issue ,1
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,neutral,proposal board director issuance option right otherwise correspond proposal board director notice general meet ,1
The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral,purchase sum eur 10mn u 1297 mn ,1
"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",neutral,report examine medical equipment business structure operation  history product  provide analysis key medical equipment revenue line ,1
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral,sale savcor face cencorp result profit loss yet determine  owe factor include valuation consideration share receive prevail exchange rate ,1
"The sale will be finalized in September or October , the company said .",neutral,sale finalize september october  company say ,1
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral,share capital alma medium corporation business id 19447574 eur 4476751380 divide 74612523 share ,1
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral,share subscribe stock option register trade register 20 january 2011  date new share establish shareholder right ,1
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,ship unloader totally enclose along entire convey line storage facility ,1
The site will cover over six hectares .,neutral,site cover six hectare ,1
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral,offer also cover localisation service relate production transfer finnish company customer already production asian market make decision transfer production ,1
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral,report oriolakd chief executive officer eero hautaniemi ,1
This release is not an offer of securities for sale into the United States or elsewhere .,neutral,release offer security sale unite state elsewhere ,1
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",neutral,tieto latvia represent service company tietoenator alise tietoenator  ha operation industry financial service card  retail logistics outsource manage service ,1
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .",neutral,together latvia  cramo operate 54 rental outlet baltic state ,1
Two other sites will be included later on .,neutral,two site include later ,1
"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral,preliminary estimation  technology park measure 50000 square meter ,1
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,neutral,upon completion sale proha would get usd12 7 stake artemis ,1
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,neutral,valga lihatoostus market product mak  moorits trademark ,1
"We know that it exists , '' Artemyev said .",neutral,know exist   artemyev say ,1
We offer our customers solutions based on renewable raw materials .,neutral,offer customer solution base renewable raw material ,1
"When dialing in , the participants should quote 877417 as conference ID .",neutral,dial  participant quote 877417 conference id ,1
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,work assignment ha already start due completion spring 2011 ,1
Yvonne Jones is owner of Chameleon Interiors .,neutral,yvonne jones owner chameleon interior ,1
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,neutral,zao yit moskovia build house moscow surround city ,1
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .",neutral,finnish print circuit board  pcbs  maker aspocomp group oyj say december 4  2006 name henry gilchrist senior vice president group asian operation  january 8  2007 ,1
` Nordic infrastructure construction is one of our strategic growth areas .,neutral, nordic infrastructure construction one strategic growth area ,1
"` Sanoma is a buyer not a target , ' he said .",neutral, sanoma buyer target   say ,1
"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .",neutral, transaction  tikkurila ha powder coatingsrelated operation   company say ,1
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral, need malware removal tool  type url vendor choice directly browser bar use link website   write trend micro rik ferguson monday ,1
`` It wo n't happen overnight .,neutral, wo nt happen overnight ,1
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,neutral, print fabric relate design expertise always core marimekko business brand ,1
`` Serving customers locally is one of the cornerstones of customer focus for us .,neutral, serve customer locally one cornerstone customer focus u ,1
`` We know there are some of our own people out there . '',neutral, know people  ,1
"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",neutral,lemiste city environment knowledgebased economy provide work 3300 people total turnover company amount eek 54 bn   say lo pñrnits  chairman supervisory board lemiste city mainor ,1
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,25 november 2010  finnish paint coat company tikkurila oyj  hel  tik1v  say today finnish stateowned investment company solidium oy sell 147  stake company total eur98m ,1
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral,3 january 2011  scandinavian lender sampo bank  hel  samas   pohjola bank  hel  poh1s  svenska handelsbanken  sto  shb  provide eur160m  usd213m  line credit lemminkainen oyj  hel  lem1s   finnish construction firm say friday ,1
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,coker crane supply tesoro corporation golden eagle refinery martinez  california  similar crane deliver bp castell refinery spain ,1
A few employees would remain at the Oulu plant in support functions for other group units .,neutral,employee would remain oulu plant support function group unit ,1
A huge issue for us is the button placement .,neutral,huge issue u button placement ,1
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral,merger upm finnishswedish stora enso likely either ,1
A paper mill in the central Maine town of Madison soon will have a new owner .,neutral,paper mill central maine town madison soon new owner ,1
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral,total 30  order value wa book fourth quarter 2009 remainder book second quarter 2010 ,1
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",neutral,finnish kemira group ceo  lasse kurkilahti  say group structural reorganisation continue least year ,1
"Local government commissioner of +àm+Ñl , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +àm+Ñl .",neutral,local government commissioner àmñl  kurt svensson  say contact management finnish company componenta find alternative company decision close plant àmñl ,1
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,accord finnish fim bank  alpro price would around eur 100mn150mn ,1
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral,accord hk ruokatalo  almost meat use company come finland ,1
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral,activity range development natural resource retail market finish product ,1
"Additionally , information on business segments , competitors and future outlook are provided .",neutral,additionally  information business segment  competitor future outlook provide ,1
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,additionally  company use solution automate preparation financial statement accord ifrs standard ,1
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,neutral,affecto ha participate program development norwegian pension system since 2007 ,1
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral,affectogenimap build highly customise solution customer finland baltic country ,1
After 1 April 2007 Cencorp will not have any own employees in the territory .,neutral,1 april 2007 cencorp employee territory ,1
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",neutral,restructure  upm average paper machine capacity europe 320000 ton  350000 short ton  coat magazine paper 420000 ton  460000 short ton  coat fine paper ,1
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .",neutral,transaction  mreal 30  metsabotnia upm  17  ,1
"After the transaction , Tikkurila has no powder coatings related operations .",neutral,transaction  tikkurila ha powder coat relate operation ,1
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",neutral,ahlstrom corporation stock exchange announcement 2342007 ahlstrom corporation publish first quarter financial result 2007 friday  april 27  2007 approximately 830 finnish time ,1
